City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Paulista,BR,-7.9408,-34.8731,73.26,81,100,8.63,moderate rain
330,Khash,IR,28.2211,61.2158,47.32,64,0,3.51,clear sky
331,Brigantine,US,39.4101,-74.3646,32.14,97,100,12.66,snow
332,Shestakovo,RU,56.4915,103.96,-0.18,97,100,2.55,overcast clouds
333,Ust-Omchug,RU,61.15,149.6333,0.41,94,100,8.37,overcast clouds
334,Ugoofaaru,MV,5.6667,73.0,82.31,71,49,21.52,scattered clouds
335,Maceio,BR,-9.6658,-35.7353,78.24,83,40,11.5,moderate rain
336,Aksay,RU,47.26,39.87,35.26,98,100,13.0,overcast clouds
337,Cutro,IT,39.0353,16.9819,43.86,64,98,23.35,overcast clouds
338,Kalanguy,RU,51.0167,116.5167,3.96,78,9,3.2,clear sky
339,Pierre,US,44.3683,-100.351,38.28,55,0,6.91,clear sky
340,Husavik,IS,66.0449,-17.3389,25.52,95,100,27.72,snow
341,Lebu,CL,-37.6167,-73.65,57.7,92,4,4.72,clear sky
342,Dublin,US,37.7021,-121.9358,57.16,74,0,4.61,clear sky
343,Pauini,BR,-7.7136,-66.9764,73.2,98,100,2.06,heavy intensity rain
344,Pacific Grove,US,36.6177,-121.9166,56.28,50,0,1.99,clear sky
